Date,Banks,Integration
2004Q1,BANCORP HAWAII INC,NA
2004Q2,BANCORP HAWAII INC,NA
2004Q3,BANCORP HAWAII INC,NA
2004Q4,BANCORP HAWAII INC,NA
2005Q1,BANCORP HAWAII INC,NA
2005Q2,BANCORP HAWAII INC,NA
2005Q3,BANCORP HAWAII INC,NA
2005Q4,BANCORP HAWAII INC,NA
2006Q1,BANCORP HAWAII INC,NA
2006Q2,BANCORP HAWAII INC,NA
2006Q3,BANCORP HAWAII INC,NA
2006Q4,BANCORP HAWAII INC,NA
2007Q1,BANCORP HAWAII INC,NA
2007Q2,BANCORP HAWAII INC,NA
2007Q3,BANCORP HAWAII INC,NA
2007Q4,BANCORP HAWAII INC,NA
2008Q1,BANCORP HAWAII INC,NA
2008Q2,BANCORP HAWAII INC,NA
2008Q3,BANCORP HAWAII INC,NA
2008Q4,BANCORP HAWAII INC,NA
2009Q1,BANCORP HAWAII INC,NA
2009Q2,BANCORP HAWAII INC,NA
2009Q3,BANCORP HAWAII INC,NA
2009Q4,BANCORP HAWAII INC,NA
2010Q1,BANCORP HAWAII INC,NA
2010Q2,BANCORP HAWAII INC,NA
2010Q3,BANCORP HAWAII INC,NA
2010Q4,BANCORP HAWAII INC,NA
2011Q1,BANCORP HAWAII INC,NA
2011Q2,BANCORP HAWAII INC,NA
2011Q3,BANCORP HAWAII INC,NA
2011Q4,BANCORP HAWAII INC,NA
2012Q1,BANCORP HAWAII INC,NA
2012Q2,BANCORP HAWAII INC,NA
2012Q3,BANCORP HAWAII INC,NA
2012Q4,BANCORP HAWAII INC,NA
2013Q1,BANCORP HAWAII INC,NA
2013Q2,BANCORP HAWAII INC,NA
2013Q3,BANCORP HAWAII INC,NA
2013Q4,BANCORP HAWAII INC,NA
2014Q1,BANCORP HAWAII INC,NA
2014Q2,BANCORP HAWAII INC,NA
2014Q3,BANCORP HAWAII INC,NA
2014Q4,BANCORP HAWAII INC,NA
2015Q1,BANCORP HAWAII INC,NA
2015Q2,BANCORP HAWAII INC,NA
2015Q3,BANCORP HAWAII INC,NA
2015Q4,BANCORP HAWAII INC,NA
2016Q1,BANCORP HAWAII INC,NA
2016Q2,BANCORP HAWAII INC,NA
2016Q3,BANCORP HAWAII INC,NA
2016Q4,BANCORP HAWAII INC,NA
1993Q2,BANK NEW YORK INC,0.762469605648866
1993Q3,BANK NEW YORK INC,0.9191952608400806
1993Q4,BANK NEW YORK INC,0.4538363518402371
1994Q1,BANK NEW YORK INC,0.6243553216872255
1994Q2,BANK NEW YORK INC,0.47181841013014714
1994Q3,BANK NEW YORK INC,0.3460350341488315
1994Q4,BANK NEW YORK INC,0.5330773968767586
1995Q1,BANK NEW YORK INC,0.7898943149925443
1995Q2,BANK NEW YORK INC,0.617289011620938
1995Q3,BANK NEW YORK INC,0.5525302796221115
1995Q4,BANK NEW YORK INC,0.5742113814900368
1996Q1,BANK NEW YORK INC,0.7061475723189228
1996Q2,BANK NEW YORK INC,0.6130431118170395
1996Q3,BANK NEW YORK INC,0.6418733129743874
1996Q4,BANK NEW YORK INC,0.6044873407157506
1997Q1,BANK NEW YORK INC,0.915796644212824
1997Q2,BANK NEW YORK INC,0.7443510038827899
1997Q3,BANK NEW YORK INC,0.7891612121790504
1997Q4,BANK NEW YORK INC,0.6938409887747735
1998Q1,BANK NEW YORK INC,0.7274850013590617
1998Q2,BANK NEW YORK INC,0.4613772471970492
1998Q3,BANK NEW YORK INC,0.7599416870145368
1998Q4,BANK NEW YORK INC,0.6660753332668068
1999Q1,BANK NEW YORK INC,0.5473875820146208
1999Q2,BANK NEW YORK INC,0.6224865905318906
1999Q3,BANK NEW YORK INC,0.6015815133396425
1999Q4,BANK NEW YORK INC,0.6966576802822538
2000Q1,BANK NEW YORK INC,0.8508269708644882
2000Q2,BANK NEW YORK INC,0.7017957206302604
2000Q3,BANK NEW YORK INC,0.4365786540675367
2000Q4,BANK NEW YORK INC,0.4746845230736888
2001Q1,BANK NEW YORK INC,0.7264556169941565
2001Q2,BANK NEW YORK INC,0.46106088201238993
2001Q3,BANK NEW YORK INC,0.6627892290962123
2001Q4,BANK NEW YORK INC,0.6429464840531756
2002Q1,BANK NEW YORK INC,0.8314332103370325
2002Q2,BANK NEW YORK INC,0.64593510249132
2002Q3,BANK NEW YORK INC,0.7528666341559773
2002Q4,BANK NEW YORK INC,0.7790591408491185
2003Q1,BANK NEW YORK INC,0.9047695264265816
2003Q2,BANK NEW YORK INC,0.5304883881871274
2003Q3,BANK NEW YORK INC,0.8368203214072225
2003Q4,BANK NEW YORK INC,0.5838979349625983
2004Q1,BANK NEW YORK INC,0.4442237688885865
2004Q2,BANK NEW YORK INC,0.6348680758331525
2004Q3,BANK NEW YORK INC,0.43884356861851626
2004Q4,BANK NEW YORK INC,0.31759006413071056
2005Q1,BANK NEW YORK INC,0.7021636362478167
2005Q2,BANK NEW YORK INC,0.7002314847192677
2005Q3,BANK NEW YORK INC,0.6857140233916313
2005Q4,BANK NEW YORK INC,0.5865628268783629
2006Q1,BANK NEW YORK INC,0.33281566741190916
2006Q2,BANK NEW YORK INC,0.264398099812162
2006Q3,BANK NEW YORK INC,0.6582103023663115
2006Q4,BANK NEW YORK INC,0.4095044083326931
2007Q1,BANK NEW YORK INC,0.6506648209015145
2007Q2,BANK NEW YORK INC,0.5665185585626318
2007Q3,BANK NEW YORK INC,NA
2007Q4,BANK NEW YORK INC,NA
2008Q1,BANK NEW YORK INC,NA
2008Q2,BANK NEW YORK INC,NA
2008Q3,BANK NEW YORK INC,NA
2008Q4,BANK NEW YORK INC,NA
2009Q1,BANK NEW YORK INC,NA
2009Q2,BANK NEW YORK INC,NA
2009Q3,BANK NEW YORK INC,NA
2009Q4,BANK NEW YORK INC,NA
2010Q1,BANK NEW YORK INC,NA
2010Q2,BANK NEW YORK INC,NA
2010Q3,BANK NEW YORK INC,NA
2010Q4,BANK NEW YORK INC,NA
2011Q1,BANK NEW YORK INC,NA
2011Q2,BANK NEW YORK INC,NA
2011Q3,BANK NEW YORK INC,NA
2011Q4,BANK NEW YORK INC,NA
2012Q1,BANK NEW YORK INC,NA
2012Q2,BANK NEW YORK INC,NA
2012Q3,BANK NEW YORK INC,NA
2012Q4,BANK NEW YORK INC,NA
2013Q1,BANK NEW YORK INC,NA
2013Q2,BANK NEW YORK INC,NA
2013Q3,BANK NEW YORK INC,NA
2013Q4,BANK NEW YORK INC,NA
2014Q1,BANK NEW YORK INC,NA
2014Q2,BANK NEW YORK INC,NA
2014Q3,BANK NEW YORK INC,NA
2014Q4,BANK NEW YORK INC,NA
2015Q1,BANK NEW YORK INC,NA
2015Q2,BANK NEW YORK INC,NA
2015Q3,BANK NEW YORK INC,NA
2015Q4,BANK NEW YORK INC,NA
2016Q1,BANK NEW YORK INC,NA
2016Q2,BANK NEW YORK INC,NA
2016Q3,BANK NEW YORK INC,NA
2016Q4,BANK NEW YORK INC,NA
1993Q2,CHEMICAL BANKING CORP,0.8708330147501993
1993Q3,CHEMICAL BANKING CORP,0.5988700343929014
1993Q4,CHEMICAL BANKING CORP,0.7086215215537814
1994Q1,CHEMICAL BANKING CORP,0.5881581360809782
1994Q2,CHEMICAL BANKING CORP,0.9422729646749638
1994Q3,CHEMICAL BANKING CORP,0.3809376266505541
1994Q4,CHEMICAL BANKING CORP,0.3982501275264504
1995Q1,CHEMICAL BANKING CORP,0.46315373177533714
1995Q2,CHEMICAL BANKING CORP,0.4317776062265246
1995Q3,CHEMICAL BANKING CORP,0.6540397706671512
1995Q4,CHEMICAL BANKING CORP,0.6082142067643235
1996Q1,CHEMICAL BANKING CORP,0.6983577139447021
1996Q2,CHEMICAL BANKING CORP,NA
1996Q3,CHEMICAL BANKING CORP,NA
1996Q4,CHEMICAL BANKING CORP,NA
1997Q1,CHEMICAL BANKING CORP,NA
1997Q2,CHEMICAL BANKING CORP,NA
1997Q3,CHEMICAL BANKING CORP,NA
1997Q4,CHEMICAL BANKING CORP,NA
1998Q1,CHEMICAL BANKING CORP,NA
1998Q2,CHEMICAL BANKING CORP,NA
1998Q3,CHEMICAL BANKING CORP,NA
1998Q4,CHEMICAL BANKING CORP,NA
1999Q1,CHEMICAL BANKING CORP,NA
1999Q2,CHEMICAL BANKING CORP,NA
1999Q3,CHEMICAL BANKING CORP,NA
1999Q4,CHEMICAL BANKING CORP,NA
2000Q1,CHEMICAL BANKING CORP,NA
2000Q2,CHEMICAL BANKING CORP,NA
2000Q3,CHEMICAL BANKING CORP,NA
2000Q4,CHEMICAL BANKING CORP,NA
2001Q1,CHEMICAL BANKING CORP,NA
2001Q2,CHEMICAL BANKING CORP,NA
2001Q3,CHEMICAL BANKING CORP,NA
2001Q4,CHEMICAL BANKING CORP,NA
2002Q1,CHEMICAL BANKING CORP,NA
2002Q2,CHEMICAL BANKING CORP,NA
2002Q3,CHEMICAL BANKING CORP,NA
2002Q4,CHEMICAL BANKING CORP,NA
2003Q1,CHEMICAL BANKING CORP,NA
2003Q2,CHEMICAL BANKING CORP,NA
2003Q3,CHEMICAL BANKING CORP,NA
2003Q4,CHEMICAL BANKING CORP,NA
2004Q1,CHEMICAL BANKING CORP,NA
2004Q2,CHEMICAL BANKING CORP,NA
2004Q3,CHEMICAL BANKING CORP,NA
2004Q4,CHEMICAL BANKING CORP,NA
2005Q1,CHEMICAL BANKING CORP,NA
2005Q2,CHEMICAL BANKING CORP,NA
2005Q3,CHEMICAL BANKING CORP,NA
2005Q4,CHEMICAL BANKING CORP,NA
2006Q1,CHEMICAL BANKING CORP,NA
2006Q2,CHEMICAL BANKING CORP,NA
2006Q3,CHEMICAL BANKING CORP,NA
