comnam,ncusip,cusip_8,siccd
PREMIER FINANCIAL BANCORP INC,74050M10,74050M10,6020
PRIVATEBANCORP INC,74296210,74296210,6020
PROSPERITY BANCSHARES INC,74360610,74360610,6710
PROSPERITY BANCSHARES INC,74360610,74360610,6020
PROSPERITY BANCSHARES INC,74360610,74360610,6022
PROVIDENT BANCORP INC DE,74383A10,85917A10,6030
PROVIDENT BANCORP INC NY,74383510,85917A10,6030
PROVIDENT FINANCIAL HOLDINGS INC,74386810,74386810,6030
PROVIDENT FINANCIAL SVCS INC,74386T10,74386T10,6035
PROVIDENT NEW YORK BANCORP,74402810,85917A10,6030
PROVIDENT NEW YORK BANCORP,74402810,85917A10,6036
Q C R HOLDINGS INC,74727A10,74727A10,6022
QUAD CITY HOLDINGS INC,74730P10,74727A10,6710
QUAD CITY HOLDINGS INC,74730P10,74727A10,6020
QUEENS COUNTY BANCORP INC,74824210,64944510,6020
QUEENS COUNTY BANCORP INC,74824210,64944510,6030
REGIONS FINANCIAL CORP,75894010,7591EP10,6710
REGIONS FINANCIAL CORP,75894010,7591EP10,6022
REGIONS FINANCIAL CORP,75894010,7591EP10,6021
REGIONS FINANCIAL CORP NEW,7591EP10,7591EP10,6021
RENASANT CORP,75970E10,75970E10,6022
REPUBLIC FIRST BANCORP INC,76041610,76041610,6710
REPUBLIC FIRST BANCORP INC,76041610,76041610,6020
ROCKVILLE FINANCIAL INC,77418610,91030410,6712
ROCKVILLE FINANCIAL INC NEW,77418810,91030410,6712
SANDY SPRING BANCORP INC,80036310,80036310,6710
SANDY SPRING BANCORP INC,80036310,80036310,6020
S C B T FINANCIAL CORP,78401V10,84044110,6021
S C B T FINANCIAL CORP,78401V10,84044110,6022
SIERRA BANCORP,82620P10,82620P10,6020
S I FINANCIAL GROUP INC,78425W10,78425V10,6035
S I FINANCIAL GROUP INC MD,78425V10,78425V10,6035
SIGNATURE BANK NEW YORK N Y,82669G10,82669G10,6022
SILICON VALLEY BANCSHARES,82706410,78486Q10,6710
SILICON VALLEY BANCSHARES,82706410,78486Q10,6020
SOUTHERN FIRST BANCSHARES INC,84287310,84287310,6021
SOUTHERN MISSOURI BANCORP INC,84338010,84338010,6710
SOUTHERN MISSOURI BANCORP INC,84338010,84338010,6030
SOUTHERN MISSOURI BANCORP INC,84338010,84338010,6035
SOUTHERN NATIONAL BANCORP VA INC,84339510,84339510,6022
SOUTHERN NATIONAL CORP NC,84344410,05493710,6021
SOUTHSIDE BANCSHARES INC,84470P10,84470P10,6020
SOUTH STATE CORP,84044110,84044110,6022
SOUTH UMPQUA BANK,84058410,90421410,6020
SOUTH UMPQUA STATE BANK,84058410,90421410,6020
SOUTHWEST BANCORP INC OKLA,84476710,84476710,6790
SOUTHWEST BANCORP INC OKLA,84476710,84476710,6030
STAR STATES CORP,85518010,92932810,6020
STATE BANK FINANCIAL CORP,85619010,85619010,6022
STATE STREET BOSTON CORP,85747310,85747710,6711
STATE STREET BOSTON CORP,85747310,85747710,6021
STATE STREET CORP,85747710,85747710,6021
STATE STREET CORP,85747710,85747710,6022
S & T BANCORP INC,78385910,78385910,6020
STERLING BANCORP DEL,85917A10,85917A10,6036
STERLING BANCORP DEL,85917A10,85917A10,6021
STOCK YARDS BANCORP INC,86102510,86102510,6712
STONEGATE BANK,86181110,86181110,6022
SUFFOLK BANCORP,86473910,86473910,6710
SUFFOLK BANCORP,86473910,86473910,6020
SUFFOLK BANCORP,86473910,86473910,6021
SUMMIT FINANCIAL GROUP INC,86606G10,86606G10,6021
SUNTRUST BANKS INC,86791410,86791410,6711
SUNTRUST BANKS INC,86791410,86791410,6022
SUNTRUST BANKS INC,86791410,86791410,6021
S V B FINANCIAL GROUP,78486Q10,78486Q10,6020
S Y BANCORP INC,78506010,86102510,6710
S Y BANCORP INC,78506010,86102510,6022
T C F FINANCIAL CORP,87227510,87227510,6712
T C F FINANCIAL CORP,87227510,87227510,6030
T C F FINANCIAL CORP,87227510,87227510,6710
T C F FINANCIAL CORP,87227510,87227510,6035
T C F FINANCIAL CORP,87227510,87227510,6021
TEXAS CAPITAL BANCSHARES INC,88224Q10,88224Q10,6021
TFS FINANCIAL CORP,87240R10,87240R10,6712
TOMPKINS COUNTY TRUSTCO INC,89011010,89011010,6020
TOMPKINS COUNTY TRUSTCO INC,89011010,89011010,6022
TOMPKINS COUNTY TRUST CO NY,89010810,89011010,6020
TOMPKINS FINANCIAL CORP,89011010,89011010,6719
TOMPKINS FINANCIAL CORP,89011010,89011010,6022
TOMPKINS TRUSTCO INC,89011010,89011010,6022
TOMPKINS TRUSTCO INC,89011010,89011010,6719
TOWNEBANK,89214P10,89214P10,6020
TRICO BANCSHARES,89609510,89609510,6710
TRICO BANCSHARES,89609510,89609510,6020
TRI COUNTY FINANCIAL CORP,89546L10,20368X10,6022
TRUSTCO BANK CORP NY,89834910,89834910,6710
TRUSTCO BANK CORP NY,89834910,89834910,6020
TRUSTMARK CORP,89840210,89840210,6711
U M B FINANCIAL CORP,90278810,90278810,6710
U M B FINANCIAL CORP,90278810,90278810,6020
UMPQUA HOLDINGS CORP,90421410,90421410,6020
UNION BANKSHARES CORP,90539910,90539J10,6710
UNION BANKSHARES CORP,90539910,90539J10,6020
UNION BANKSHARES CORP NEW,90539J10,90539J10,6022
UNION FIRST BAMKSHARES CORP,90662P10,90539J10,6022
UNITED BANKSHARES INC,90990710,90990710,6710
UNITED BANKSHARES INC,90990710,90990710,6020
UNITED COMMUNITY FINL CORP OHIO,90983910,90983910,6030
UNITED FINANCIAL BANCORP INC NEW,91030410,91030410,6712
UNITED MISSOURI BANCSHARES INC,91102210,90278810,6711
UNITY BANCORP INC,91329010,91329010,6099
UNITY BANCORP INC,91329010,91329010,6022
UNITY BANCORP INC,91329010,91329010,6020
UNIVEST CORP OF PENNSYLVANIA,91527110,91527110,6036
USBANCORP INC PA,91729210,03074A10,6710
USBANCORP INC PA,91729210,03074A10,6020
VALLEY NATIONAL BANCORP,91979410,91979410,6710
VALLEY NATIONAL BANCORP,91979410,91979410,6021
